TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
252.400907029,0.188994,1.13905,0.329496,0.475097,1.00485,0.108795,0.0807213,0.624205,3.38717,0.242947,0.0772989,0.130156
252.447346939,0.287427,1.21674,0.257828,0.610733,0.883561,0.126503,0.13719,0.401117,3.46885,0.220461,0,0.253392
252.493786848,0.347485,1.46209,0.194462,0.805997,0.655536,0.170716,0.158716,0.238204,3.4518,0.13712,0.00595851,0.186186
252.540226757,0.353467,0.583647,0.0851614,2.36498,0,0.173087,0.0241933,0,3.76887,0.102564,0.0496508,0.227562
252.586666667,0.192436,0.282413,0.0665191,2.84564,0.00496421,0.317687,0.0476177,0.0703326,4.1136,0.10807,0.237853,0.176314
252.633106576,0.0599655,0.297935,0.0161028,3.03396,0.0132219,0.166444,0.0536292,0.216862,3.80776,0.0573151,0.394063,0.185041
252.679546485,0.139992,0.155363,0.0065696,3.05494,0.0207397,0.132995,0.0581445,0.0598097,4.23029,0.0827145,0.130823,0.0116716
252.725986395,0.190143,0,0.0319905,2.70936,0.0135013,0.0348334,0.0532336,0,4.6742,0.0905975,0.0046258,0.0593405
252.772426304,0.159074,0.106451,0.00120507,2.59614,0.00448766,0.0359145,0.0492445,0.00317859,4.34824,0.104631,0.00222438,0.0170573
252.818866213,0.130267,0.0222156,0.328388,1.7721,0.898168,0.0505592,0.203471,0.200797,3.91316,0.322663,0,0.00957451
252.865306122,0.136132,0.0236347,0.95289,1.28401,1.10468,0.0366482,0.508907,0.167874,3.13591,0.469569,0.132185,0.390429
252.911746032,0.203718,0.215284,1.11403,0.573518,1.19006,0.0399174,0.566744,0.073558,2.56767,0.845076,0.483521,0.292931
252.958185941,0.253613,0.226884,1.40748,0.358899,1.36819,0.117458,0.559739,0.082806,2.45341,1.00751,0.771788,0.0809955
253.004625850,0.325434,0.189606,1.34713,0.499028,1.35036,0.0578918,0.501754,0.154133,2.59068,1.12816,0.801795,0.0775708
253.051065760,0.286943,0.164056,0.560185,1.62728,1.27053,0,0.388862,0.0783392,2.96102,1.23639,0.258353,0.139992
253.097505669,0.828673,0.0951691,0.517486,1.95189,1.33395,0.0097993,0.0593915,0,2.71244,1.0959,0.104099,0.108259
253.143945578,1.24549,0,0.731083,1.46932,1.57334,0.0266031,0.0426566,0,2.10094,1.04372,0.40969,0.0183169
253.190385488,1.25806,0.0894954,0.707905,1.35545,1.82724,0,0.0187349,0,1.84539,0.940126,0.492325,0.0966236
253.236825397,0.729639,0.27894,0.585403,0.920806,1.79955,0.0554193,0,0.0201903,2.15601,1.17782,0.496372,0.266207
253.283265306,0.320339,0.745773,0.3,0.225663,1.92928,0.281991,0.00980283,0.160248,2.40305,1.41246,0.270744,0.378305
253.329705215,0.328692,0.860114,0.768237,0,2.45186,0.311007,0.0700699,0.14939,2.06867,1.41185,0.231959,0.567051
253.376145125,0.483751,0.737379,0.77088,0.155308,2.42441,0.287806,0.213883,0.137453,1.709,1.8163,0.198916,0.41129
253.422585034,0.278529,0.488717,0.948939,0.290714,2.27421,0.280764,0.251721,0.137646,1.49677,1.96231,0.440746,0.116121
253.469024943,0.78171,0.280081,0.503493,0.128587,1.84602,0.170165,0.109767,0.27809,1.21088,2.42037,0.439334,0.269344
253.515464853,1.24265,0.267767,0.0148844,0.0702589,2.2933,0.0687119,0.110482,0.196716,0.9739,1.9659,0.602644,0.057442
253.561904762,1.34332,0.235919,0.0103773,0.00689985,2.35731,0.0115739,0.0928686,0.192623,1.07703,1.95377,0.475253,0.0307728
253.608344671,1.25271,0.161685,0.00280107,0.0098642,2.27312,0.014931,0.139053,0.0780399,1.33347,2.23763,0.265806,0
253.654784580,0.837174,0.0551554,0.0714858,0.0486247,2.08794,0.0355729,0.223635,0.0323469,1.64056,2.41757,0.141386,0
253.701224490,0.426939,0.00223423,0.135271,0.30427,1.2389,0.12982,0.283029,0.0186703,1.03934,2.36042,0.102966,0.0870822
253.747664399,0.679855,0.0199085,0.454787,0.4418,0.851015,0.497032,0.0888301,0,0.516994,1.7601,0.074964,0.169234
253.794104308,1.08933,0.144721,0.458395,0.713892,0.90613,0.323503,0.161216,0.463268,0.222653,1.6892,0.328868,0.123557
253.840544218,0.601794,1.44542,0.311671,2.0503,0.72521,0.0245261,0.105932,0.584017,1.17822,1.03939,1.04784,0.143837
253.886984127,0.304946,2.18685,0.21833,2.24237,0.107269,0.022284,0.0799802,0.147769,2.69523,0.172099,1.14162,0.114471
253.933424036,0.297918,2.63522,0.17783,1.87971,0,0.0411666,0.084693,0,3.39433,0.000509293,1.01889,0.110889
253.979863946,0.152333,2.71918,0.176678,1.64489,0,0.302232,0.0863727,0,3.3949,0.0476112,0.530582,0.260646
254.026303855,0.103532,2.34828,0.275029,1.60364,0.00524931,0.338083,0.0823428,0,3.42861,0.104812,0.609526,0.276535
254.072743764,0.0344255,1.89425,0.192155,1.63942,0,0.272858,0.103485,0.0418487,3.31347,0.0889263,0.719183,0.109787
254.119183673,0.0520863,2.56592,0.269116,1.59068,0.167774,0.0902869,0.0302805,0.0337111,2.54904,0.175839,0.653231,0.141518
254.165623583,0.192249,2.58484,0.267782,1.46641,0.700714,0.0252343,0.240529,0.00537852,1.58093,1.00284,0.338624,0
254.212063492,0.378446,2.28368,0.106739,0.924015,1.30027,0.0462181,0.83511,0.218008,0.813603,2.02766,0.24413,0
254.258503401,0.539186,2.02325,0.0179977,0.141889,1.65209,0.0299542,1.12212,0.089576,0.412802,2.62351,0.263926,0.0968138
254.304943311,0.554469,2.23264,0.00629998,0.00147829,1.70943,0.0419845,1.14516,0,0.232375,3.02498,0.207879,0.342537
254.351383220,0.513366,2.37378,0,0,1.6478,0.199041,0.866473,0,0.0797523,3.14884,0.0480855,0.485934
254.397823129,0.423534,2.59743,0,0,1.72574,0.333055,0.530812,0,0.13145,3.06001,0.0461315,0.880729
254.444263039,0.284307,2.61849,0,0,1.87769,0.29976,0.595887,0.000798232,0.1553,3.04614,0.0649524,0.776916
254.490702948,0.0800353,2.61452,0,0,1.98284,0.162793,0.651293,0.0185697,0.0687948,3.28331,0.125694,0.781318
254.537142857,0.0567418,2.31895,0,0,1.89001,0.0193924,0,0.00420183,0.0882081,3.63758,0.00568699,0.923875
254.583582766,0.00743596,1.93252,0,0.0887311,1.37414,0.109284,0.196427,0.0366334,0.118656,3.66045,0.0103041,0.884079
254.630022676,0.0888769,1.37097,0,0.196787,0.687001,0.300545,0.984556,0.110099,0.420119,3.52318,0.154948,0.517251
254.676462585,0.0511214,1.13494,0.0835262,0.240484,0.650953,0.0535809,1.84832,0.336799,0.273395,3.41173,0.367201,0.0765791
254.722902494,0.0767254,1.34251,0.885751,0.270341,0.344858,0.0256244,2.45837,0.516766,0.00398422,2.62517,0.606697,0.0909238
254.769342404,0.142401,1.60937,1.26896,0,0.310478,0.00467781,2.48832,0.352097,0.00222044,1.99841,0.69302,0.109023
254.815782313,0.160672,2.13879,0.950386,0.183739,0.518768,0.00923631,2.10309,0.419842,0.141222,1.98596,0.739397,0.101219
254.862222222,0.238918,2.28194,0.280581,1.08424,0.353199,0.0192548,1.92702,0.122294,1.69264,1.58176,0.0567923,0.130459
